,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,BsmtFin SF 1,BsmtFin SF 2,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Has Alley,Has Pool,Has Fence,Has Misc Feature,Mas Vnr Type_Encoding,Has Bsmt,Encoded Bsmt Qual,Bsmt Cond Encode,Bsmt Exposure Encode,BsmtFin Type 1 Encode,BsmtFin Type 2 Encode,Has Garage,Garage Type Encode,Has FirePlace,Fireplace Qu Encode,Garage cond,Bsmt Qual Encoded,Mas Vnr Type Encode
778,80,RL,88.0,15312,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,54.0,TA,TA,CBlock,588.0,0.0,1138.0,GasA,Ex,Y,SBrkr,1138,0,0,1138,0.0,1.0,1,0,3,1,TA,6,Typ,1,1960.0,2.0,480.0,Y,0,0,0,0,140,0,0,3,2009,COD,Normal,148000,0,0,1,0,1,1,5,5,0,1,6,1,1,1,5,,5,1
779,80,RL,68.0,15584,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,366.0,TA,TA,CBlock,0.0,0.0,825.0,GasA,Ex,Y,SBrkr,2071,0,0,2071,0.0,1.0,1,1,4,1,TA,9,Typ,1,1956.0,1.0,336.0,Y,131,28,0,0,0,0,0,10,2009,WD ,Normal,165000,0,0,0,0,1,1,5,5,2,6,6,1,1,1,5,,5,1
780,20,RL,68.0,9000,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,2,2,1947,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Slab,0.0,0.0,0.0,GasA,Fa,N,SBrkr,660,0,0,660,0.0,0.0,1,0,2,1,Fa,5,Min2,0,0.0,0.0,0.0,N,0,0,100,0,0,0,0,6,2009,WD ,Normal,63900,0,0,0,0,3,0,3,3,4,4,4,0,6,0,3,,3,3
781,50,RL,68.0,11250,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,4,5,1957,1989,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,0.0,0.0,1104.0,GasA,Ex,Y,FuseA,1104,684,0,1788,1.0,0.0,1,0,5,1,TA,8,Min2,2,1957.0,1.0,304.0,Y,120,0,0,0,0,0,0,11,2009,WD ,Normal,161500,0,0,0,0,3,1,5,5,0,6,6,1,1,1,5,,5,3
782,20,RL,65.0,25095,Pave,IR1,Low,AllPub,Inside,Sev,ClearCr,Norm,Norm,1Fam,1Story,5,8,1968,2003,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,1324.0,0.0,1437.0,GasA,Ex,Y,SBrkr,1473,0,0,1473,2.0,0.0,1,0,1,1,Ex,5,Typ,2,1968.0,1.0,452.0,Y,0,48,0,0,60,0,0,6,2009,WD ,Partial,143000,0,0,0,0,3,1,5,5,1,2,6,1,1,1,2,,5,3
783,20,RL,68.0,17140,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1956,1956,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,1059.0,0.0,1134.0,GasA,Ex,Y,FuseA,1229,0,0,1229,0.0,0.0,1,0,3,1,TA,6,Typ,0,1956.0,1.0,284.0,Y,0,0,0,0,0,0,0,4,2009,WD ,Normal,135000,0,0,0,0,3,1,5,5,3,0,6,1,1,0,3,,5,3
784,30,RL,68.0,12342,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,262.0,0.0,861.0,GasA,Ex,Y,SBrkr,861,0,0,861,0.0,0.0,1,0,1,1,TA,4,Typ,0,1961.0,2.0,539.0,Y,158,0,0,0,0,0,0,3,2009,WD ,Normal,82500,0,0,0,0,3,1,5,5,3,1,6,1,5,0,3,,5,3
785,20,RL,68.0,10708,Pave,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,5,5,1955,1993,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,379.0,768.0,1617.0,GasA,Ex,Y,FuseA,1867,0,0,1867,1.0,0.0,1,0,2,1,TA,7,Typ,3,1955.0,1.0,303.0,Y,476,0,0,0,142,0,0,11,2009,COD,Normal,190000,0,0,1,0,3,1,5,5,3,3,1,1,1,1,2,,5,3
786,20,RL,68.0,13680,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,5,1955,1955,Hip,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,Slab,0.0,0.0,0.0,GasA,Ex,Y,FuseA,1733,0,0,1733,0.0,0.0,2,0,4,1,TA,8,Min2,1,1955.0,2.0,452.0,Y,0,0,0,0,0,0,0,6,2009,WD ,Normal,139600,0,0,0,0,3,0,3,3,4,4,4,1,1,1,2,,3,3
787,20,RL,68.0,15635,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1954,1954,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1383,0,0,1383,0.0,0.0,1,0,2,1,TA,6,Mod,0,1980.0,2.0,498.0,Y,0,0,90,0,110,0,0,10,2009,WD ,Normal,122000,0,0,0,0,3,0,3,3,4,4,4,1,1,0,3,,3,3
788,20,RL,73.0,9855,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,0.0,0.0,1436.0,GasA,Fa,Y,SBrkr,1689,0,0,1689,0.0,0.0,1,0,3,1,TA,7,Typ,1,1956.0,2.0,480.0,Y,0,0,0,0,0,0,0,11,2009,COD,Normal,127500,0,0,1,0,3,1,5,5,3,6,6,1,1,1,2,,5,3
789,20,RL,68.0,9571,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,257.0,0.0,1073.0,GasA,TA,Y,FuseA,1073,0,0,1073,1.0,0.0,1,0,2,1,TA,5,Typ,0,1956.0,1.0,340.0,Y,0,0,0,0,0,0,0,2,2009,WD ,Normal,121500,0,0,1,0,3,1,5,5,3,5,6,1,1,0,3,,5,3
790,20,RL,68.0,9571,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,0.0,0.0,1276.0,GasA,TA,Y,FuseA,1276,0,0,1276,0.0,0.0,1,0,3,1,TA,5,Mod,0,1958.0,1.0,350.0,Y,0,0,0,0,0,0,0,6,2009,COD,Abnorml,60000,0,0,0,0,3,1,5,1,3,6,6,1,1,0,3,,5,3
791,60,RL,50.0,9350,Pave,Reg,Bnk,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,7,1946,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,342.0,0.0,747.0,GasA,Ex,Y,SBrkr,892,747,0,1639,0.0,0.0,1,1,3,1,Gd,6,Typ,1,1946.0,1.0,240.0,Y,0,50,0,0,0,0,0,7,2009,WD ,Normal,154400,0,0,0,0,3,1,5,5,3,1,6,1,5,1,2,,5,3
792,30,RL,50.0,9340,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1941,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,344.0,0.0,672.0,GasA,TA,Y,SBrkr,672,0,0,672,1.0,0.0,1,0,2,1,TA,4,Typ,0,1941.0,1.0,234.0,N,0,113,0,0,0,0,0,8,2009,WD ,Normal,113000,0,0,0,0,3,1,5,5,3,5,6,1,1,0,3,,5,3
793,20,RL,62.0,7440,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,173.0,0.0,1089.0,GasW,TA,Y,SBrkr,1089,0,0,1089,1.0,0.0,1,0,3,1,TA,5,Typ,1,1954.0,1.0,252.0,P,328,0,0,0,0,0,0,9,2009,WD ,Normal,125000,0,0,1,0,3,1,2,5,3,1,6,1,5,1,2,,2,3
794,20,RL,68.0,11500,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,3,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,Slab,0.0,0.0,0.0,GasA,Ex,N,SBrkr,845,0,0,845,0.0,0.0,1,0,3,1,TA,5,Typ,0,1957.0,1.0,290.0,N,186,0,0,0,0,0,0,1,2009,WD ,Normal,84000,0,0,0,0,3,0,3,3,4,4,4,1,5,0,3,,3,3
795,120,RL,42.0,4235,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,552.0,393.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1049,1.0,0.0,2,0,2,1,Gd,5,Typ,0,1984.0,1.0,266.0,Y,0,105,0,0,0,0,0,2,2009,WD ,Normal,139500,0,0,0,0,1,1,2,5,2,2,0,1,1,0,3,,2,1
796,50,RL,60.0,11409,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,292.0,0.0,768.0,GasA,Gd,Y,SBrkr,1148,568,0,1716,0.0,0.0,1,1,3,1,TA,8,Min2,1,1949.0,1.0,281.0,Y,0,0,0,0,160,0,0,1,2009,WD ,Normal,131000,0,0,0,0,3,1,5,5,3,3,6,1,1,1,2,,5,3
797,50,RL,60.0,9060,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,BrkTil,204.0,0.0,560.0,GasA,TA,Y,SBrkr,698,560,0,1258,0.0,0.0,1,0,2,1,TA,6,Typ,0,1939.0,1.0,280.0,P,0,0,0,0,0,0,0,10,2009,WD ,Normal,105000,0,0,1,0,3,1,5,5,2,5,6,1,5,0,3,,5,3
798,70,RL,60.0,9084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,2Story,4,5,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,0.0,0.0,755.0,GasA,TA,Y,SBrkr,755,755,0,1510,1.0,0.0,1,0,4,1,TA,7,Typ,1,1940.0,1.0,296.0,P,120,0,0,0,0,0,0,10,2009,WD ,Normal,108000,0,0,1,0,3,1,5,5,2,6,6,1,5,1,2,,5,3
799,80,RL,74.0,10778,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,SLvl,7,6,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,460.0,286.0,1054.0,GasA,Gd,Y,SBrkr,1061,0,0,1061,1.0,0.0,1,1,1,1,Gd,4,Typ,0,1990.0,2.0,462.0,Y,114,36,0,0,0,0,0,7,2009,WD ,Normal,162000,0,0,0,0,3,1,2,5,3,2,0,1,1,0,3,,2,3
800,80,RL,66.0,19255,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,SLvl,6,5,1983,1983,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,100.0,Gd,TA,CBlock,70.0,450.0,520.0,GasA,Gd,Y,SBrkr,1338,0,0,1338,0.0,0.0,1,1,2,1,Gd,5,Min2,1,1983.0,2.0,576.0,Y,0,0,0,0,0,0,600,9,2009,WD ,Normal,156500,0,0,0,1,1,1,2,5,0,5,2,1,1,1,4,,2,1
801,50,RL,79.0,12327,Pave,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,1.5Fin,8,8,1983,2009,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,1441.0,0.0,1496.0,GasA,Ex,Y,SBrkr,1496,636,0,2132,1.0,0.0,1,1,1,1,Gd,5,Min2,1,1983.0,2.0,612.0,Y,349,40,0,0,0,0,0,9,2009,WD ,Normal,316600,0,0,0,0,3,1,2,5,1,2,6,1,3,1,2,,2,3
802,20,RL,90.0,14684,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,7,1990,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,234.0,Gd,TA,CBlock,485.0,177.0,2158.0,GasA,Gd,Y,SBrkr,2196,0,0,2196,0.0,0.0,2,0,3,1,Gd,7,Typ,1,1990.0,3.0,701.0,Y,84,70,0,0,0,0,0,6,2009,WD ,Normal,271900,0,0,0,0,1,1,2,5,2,0,1,1,1,1,5,,2,1
803,60,RL,75.0,9317,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,137.0,Gd,TA,PConc,513.0,0.0,740.0,GasA,Ex,Y,SBrkr,1006,769,0,1775,1.0,0.0,2,1,3,1,Gd,7,Typ,1,1993.0,2.0,425.0,Y,234,72,192,0,0,0,0,7,2009,WD ,Normal,213000,0,0,0,0,1,1,2,5,3,0,6,1,1,1,5,,2,1
804,60,RL,85.0,10560,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,474.0,0.0,1079.0,GasA,Ex,Y,SBrkr,1079,800,0,1879,1.0,0.0,2,1,3,1,Gd,8,Typ,1,1993.0,2.0,473.0,Y,400,100,144,0,0,0,0,8,2009,WD ,Normal,239900,0,0,1,0,3,1,2,2,3,2,6,1,1,1,5,,2,3
805,60,RL,80.0,9828,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,8,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,584.0,0.0,1128.0,GasA,Ex,Y,SBrkr,1142,878,0,2020,0.0,0.0,2,1,3,1,Gd,8,Typ,1,1995.0,2.0,466.0,Y,0,155,0,0,0,0,0,6,2009,WD ,Normal,239500,0,0,0,0,3,1,2,5,3,2,6,1,1,1,5,,2,3
806,70,RL,120.0,26400,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,1900.0,2.0,576.0,P,0,0,0,0,0,0,0,6,2009,WD ,Normal,131000,0,0,0,0,3,0,3,3,4,4,4,1,1,1,5,,3,3
807,90,RL,64.0,7018,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Fa,Slab,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1535,0,0,1535,0.0,0.0,2,0,4,2,TA,8,Typ,0,1979.0,2.0,410.0,Y,0,0,0,0,0,0,0,6,2009,WD ,Alloca,118964,0,0,0,0,3,0,3,3,4,4,4,1,1,0,3,,3,3
808,90,RL,64.0,7018,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,TA,TA,CBlock,1086.0,0.0,1086.0,GasA,TA,Y,SBrkr,1224,0,0,1224,2.0,0.0,0,2,2,2,TA,6,Typ,2,1979.0,2.0,528.0,Y,120,0,0,0,0,0,0,6,2009,WD ,Alloca,153337,0,0,0,0,4,1,2,5,0,2,6,1,5,1,5,,2,4
809,90,RL,64.0,7018,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Slab,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1114,1114,0,2228,0.0,0.0,2,0,6,2,TA,8,Typ,0,1979.0,2.0,720.0,Y,73,0,0,0,0,0,0,6,2009,WD ,Alloca,147983,0,0,0,0,3,0,3,3,4,4,4,1,5,0,3,,3,3
810,90,RL,64.0,7018,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Slab,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1535,0,0,1535,0.0,0.0,2,0,4,2,TA,8,Typ,0,1979.0,2.0,400.0,Y,0,0,0,0,0,0,0,6,2009,WD ,Alloca,118858,0,0,1,0,3,0,3,3,4,4,4,1,1,0,3,,3,3
811,90,RL,64.0,7018,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,Slab,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1535,0,0,1535,0.0,0.0,2,0,4,2,TA,8,Typ,0,1979.0,2.0,400.0,Y,0,0,0,0,0,0,0,6,2009,WD ,Alloca,118858,0,0,0,0,3,0,3,3,4,4,4,1,1,0,3,,3,3
812,90,RL,64.0,7018,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,Slab,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1120,1120,0,2240,0.0,0.0,2,0,6,2,TA,12,Typ,0,1979.0,2.0,528.0,Y,154,0,0,0,0,0,0,6,2009,WD ,Alloca,142953,0,0,0,0,3,0,3,3,4,4,4,1,5,0,3,,3,3
813,90,RL,64.0,7040,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,BrkFace,216.0,TA,TA,CBlock,1094.0,0.0,1094.0,GasA,TA,Y,SBrkr,1229,0,0,1229,2.0,0.0,0,2,2,2,Gd,6,Typ,2,1979.0,2.0,672.0,Y,120,0,0,0,0,0,0,6,2009,WD ,Alloca,148325,0,0,0,0,1,1,2,5,0,2,6,1,5,1,5,,2,1
814,90,RL,64.0,7007,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Slab,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1513,0,0,1513,0.0,0.0,2,0,4,2,TA,8,Typ,0,1979.0,2.0,400.0,Y,0,0,0,0,0,0,0,6,2009,WD ,Alloca,113722,0,0,0,0,3,0,3,3,4,4,4,1,1,0,3,,3,3
815,90,RL,68.0,11855,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,820.0,0.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,2000.0,4.0,820.0,Y,312,0,0,0,0,0,0,10,2009,WD ,Normal,269500,0,0,0,0,1,1,0,5,3,2,6,1,3,1,5,,0,1
816,90,RL,68.0,7939,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,820.0,0.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,2000.0,4.0,820.0,Y,312,0,0,0,0,0,0,10,2009,WD ,Normal,269500,0,0,0,0,1,1,0,5,3,2,6,1,3,1,5,,0,1
817,90,RL,68.0,7976,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,820.0,0.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,2000.0,4.0,820.0,Y,312,0,0,0,0,0,0,10,2009,WD ,Normal,269500,0,0,0,0,1,1,0,5,3,2,6,1,3,1,5,,0,1
818,20,RL,84.0,10933,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2009,2009,Hip,CompShg,VinylSd,VinylSd,Stone,242.0,Ex,TA,PConc,1021.0,0.0,1555.0,GasA,Ex,Y,SBrkr,1680,0,0,1680,1.0,0.0,1,1,1,1,Ex,8,Typ,1,2009.0,3.0,1138.0,Y,185,24,0,0,0,0,0,7,2009,New,Partial,323262,0,0,0,0,4,1,0,5,1,2,6,1,1,1,2,,0,4
819,20,RL,79.0,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,1288.0,0.0,1705.0,GasA,Ex,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,2007.0,3.0,826.0,Y,208,44,0,0,0,0,0,9,2009,WD ,Normal,297000,0,0,0,0,4,1,0,5,1,2,6,1,1,1,2,,0,4
820,20,RL,61.0,10226,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,270.0,Gd,TA,PConc,0.0,0.0,1622.0,GasA,Ex,Y,SBrkr,1630,0,0,1630,1.0,0.0,2,0,3,1,Ex,8,Typ,1,2008.0,3.0,860.0,Y,172,42,0,0,0,0,0,1,2009,WD ,Normal,295493,0,0,0,0,4,1,0,5,1,6,6,1,1,1,2,,0,4
821,20,RL,65.0,10816,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,364.0,Ex,TA,PConc,1104.0,0.0,1720.0,GasA,Ex,Y,SBrkr,1720,0,0,1720,1.0,0.0,2,0,3,1,Ex,8,Typ,1,2008.0,3.0,846.0,Y,208,104,0,0,0,0,0,11,2009,WD ,Normal,332000,0,0,0,0,4,1,0,5,1,2,6,1,1,1,2,,0,4
822,20,RL,71.0,9178,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,0.0,0.0,1468.0,GasA,Ex,Y,SBrkr,1468,0,0,1468,0.0,0.0,2,0,3,1,Gd,6,Typ,1,2008.0,3.0,904.0,Y,192,142,0,0,0,0,0,6,2009,WD ,Normal,239900,0,0,0,0,3,1,2,5,0,6,6,1,1,1,2,,2,3
823,60,RL,68.0,10769,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,20.0,0.0,866.0,GasA,Ex,Y,SBrkr,866,902,0,1768,0.0,0.0,2,1,3,1,Gd,7,Typ,0,2007.0,2.0,578.0,Y,144,105,0,0,0,0,0,4,2009,WD ,Normal,212000,0,0,0,0,3,1,2,5,0,2,6,1,1,0,3,,2,3
824,20,RL,77.0,11422,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,352.0,Gd,TA,PConc,1359.0,0.0,1838.0,GasA,Ex,Y,SBrkr,1838,0,0,1838,1.0,0.0,2,0,3,1,Gd,7,Typ,2,2007.0,2.0,524.0,Y,154,222,0,0,0,0,0,4,2009,WD ,Normal,272500,0,0,0,0,4,1,0,5,0,2,6,1,1,1,2,,0,4
825,20,RL,122.0,11923,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,0.0,0.0,1800.0,GasA,Ex,Y,SBrkr,1800,0,0,1800,0.0,0.0,2,0,2,1,Ex,7,Typ,0,2007.0,2.0,702.0,Y,288,136,0,0,0,0,0,5,2009,WD ,Normal,239000,0,0,0,0,3,1,0,5,3,6,6,1,1,0,3,,0,3
826,20,RL,68.0,8814,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,Gd,TA,PConc,1334.0,0.0,1604.0,GasA,Ex,Y,SBrkr,1604,0,0,1604,1.0,0.0,2,1,3,1,Gd,8,Typ,1,2006.0,2.0,660.0,Y,123,110,0,0,0,0,0,3,2009,WD ,Abnorml,220000,0,0,0,0,4,1,2,5,3,2,6,1,1,1,2,,2,4
827,20,RL,64.0,6762,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,902.0,0.0,1282.0,GasA,Ex,Y,SBrkr,1290,0,0,1290,1.0,0.0,2,0,2,1,Gd,6,Typ,1,2007.0,2.0,662.0,Y,168,0,0,0,0,0,0,5,2009,WD ,Normal,200000,0,0,0,0,3,1,2,5,0,2,6,1,1,1,2,,2,3
